StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1095,16,Male,Group A,High Education,Low,,No,Medium Support,Yes,Yes,No,No,Medium,Grade C
1096,16,Male,Group C,Bechelor Degree,Medium,,No,3,No,No,No,Yes,Low,Grade D
1097,16,Male,Group B,High Education,Medium,,No,4,No,No,Yes,No,Low,Grade D
1098,18,Female,Group A,Inter Education,Low,,No,Strong Support,No,Yes,No,No,Medium,Grade C
1099,16,Female,Group A,Bechelor Degree,Low,,No,Strong Support,Yes,No,Yes,Yes,Low,Grade D
1100,15,Female,Group A,High Education,Medium,,No,Strong Support,No,No,No,No,Low,Grade D
1101,17,Male,Group C,High Education,Low,,Yes,Medium Support,Yes,Yes,No,Yes,Low,Grade D
1102,16,Male,Group A,Bechelor Degree,Low,,No,3,Yes,No,Yes,Yes,Medium,Grade C
1103,16,Female,Group B,High Education,Medium,,No,3,Yes,Yes,No,No,Low,Grade D
1104,18,Male,Group A,Inter Education,Medium,Moderate Absence,Yes,Strong Support,No,Yes,No,No,Low,Grade D
1105,16,Male,Group B,No Education,Medium,,No,3,Yes,No,No,No,Low,Grade D
1106,16,Male,Group C,Inter Education,Low,,No,3,No,Yes,Yes,Yes,Medium,Grade D
1107,16,Female,Group D,High Education,Low,,No,No Support,Yes,No,No,Yes,Low,Grade D
1108,18,Male,Group A,No Education,Medium,,No,Medium Support,No,Yes,No,No,Low,Grade D
1109,16,Male,Group C,Inter Education,Low,,Yes,3,Yes,Yes,No,No,Low,Grade D
1110,17,Female,Group C,High Education,Medium,,Yes,4,No,No,No,No,Medium,Grade C
1111,18,Female,Group B,High Education,Medium,,Yes,3,No,No,No,No,High,Grade B
1112,17,Male,Group D,No Education,Low,,Yes,4,No,No,Yes,No,High,Grade A
1113,18,Male,Group A,High Education,Medium,,No,Strong Support,No,No,No,No,High,Grade B
1114,16,Female,Group A,High Education,Medium,,Yes,Medium Support,No,Yes,Yes,No,Low,Grade D
1115,17,Female,Group C,No Education,Medium,,Yes,Strong Support,No,No,No,No,Medium,Grade D
1116,18,Male,Group A,Bechelor Degree,Low,,No,No Support,No,No,No,Yes,Low,Grade D
1117,15,Male,Group C,No Education,Low,,No,3,Yes,No,Yes,No,Low,Grade D
1118,16,Male,Group C,Inter Education,Low,,No,4,No,No,No,No,Low,Grade D
1119,18,Male,Group A,High Education,Low,,No,3,No,Yes,No,No,Low,Grade D
1120,15,Female,Group C,High Education,Medium,,No,Strong Support,Yes,No,Yes,Yes,High,Grade A
1121,18,Male,Group A,Bechelor Degree,Low,,Yes,Medium Support,Yes,Yes,No,No,Medium,Grade D
1122,15,Male,Group B,High Education,Low,,Yes,Medium Support,No,Yes,Yes,No,Medium,Grade C
1123,16,Female,Group B,Master Drgree,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1124,17,Male,Group D,High Education,Medium,,No,3,No,No,No,No,High,Grade B
1125,15,Female,Group A,Inter Education,Low,,Yes,Strong Support,Yes,No,Yes,No,High,Grade B
1126,18,Male,Group A,Inter Education,Low,,No,4,Yes,No,No,No,Medium,Grade C
1127,16,Male,Group B,Bechelor Degree,Low,,No,3,Yes,No,No,No,High,Grade A
1128,15,Female,Group C,Inter Education,Medium,Low Absent,Yes,Medium Support,No,Yes,No,No,Medium,Grade C
1129,18,Female,Group B,Inter Education,Low,,Yes,Medium Support,Yes,Yes,No,No,Medium,Grade D
1130,18,Male,Group A,High Education,Medium,,Yes,3,No,No,No,No,Low,Grade D
1131,18,Male,Group A,High Education,Medium,,No,Medium Support,No,No,No,No,Medium,Grade D
1132,15,Male,Group A,Bechelor Degree,Low,,No,3,No,No,No,No,High,Grade B
1133,15,Female,Group C,High Education,Medium,,Yes,Strong Support,No,Yes,No,No,High,Grade A
1134,15,Male,Group A,High Education,Low,,No,Medium Support,Yes,No,No,No,Medium,Grade D
1135,17,Female,Group A,Inter Education,Medium,,Yes,Strong Support,Yes,No,No,No,High,Grade B
1136,15,Female,Group D,High Education,Medium,,No,Strong Support,Yes,No,No,No,Medium,Grade D
1137,15,Male,Group A,Master Drgree,Low,,No,3,No,Yes,No,No,Medium,Grade D
1138,15,Female,Group D,Inter Education,Low,,No,No Support,Yes,No,Yes,Yes,Low,Grade D
1139,17,Male,Group B,Inter Education,Low,,No,3,Yes,No,No,No,Medium,Grade C
1140,15,Male,Group C,Bechelor Degree,Medium,,Yes,3,No,No,No,No,Medium,Grade D
1141,18,Male,Group A,No Education,Low,,No,3,Yes,No,No,No,High,Grade B
1142,15,Male,Group A,High Education,Medium,,Yes,No Support,Yes,Yes,No,No,Low,Grade D
1143,18,Male,Group C,Inter Education,Low,,Yes,3,No,No,No,No,Low,Grade D
1144,18,Female,Group C,High Education,Medium,,No,Strong Support,Yes,No,Yes,No,Medium,Grade D
1145,18,Female,Group C,Inter Education,Low,,Yes,Strong Support,Yes,Yes,No,No,Medium,Grade D
1146,17,Male,Group A,Bechelor Degree,Medium,,No,3,Yes,No,No,No,Medium,Grade C
1147,17,Male,Group C,Inter Education,Low,,Yes,Strong Support,Yes,No,No,Yes,High,Grade A
1148,17,Female,Group C,High Education,Medium,,No,3,No,Yes,No,No,Medium,Grade D
1149,15,Female,Group B,Master Drgree,Low,,No,Medium Support,Yes,Yes,No,Yes,Low,Grade D
1150,18,Female,Group C,Inter Education,Low,,No,3,Yes,No,No,No,Medium,Grade C
1151,17,Female,Group C,Inter Education,Low,,No,Medium Support,No,Yes,Yes,No,Medium,Grade C
1152,17,Male,Group B,High Education,Medium,Moderate Absence,Yes,3,No,Yes,No,No,Low,Grade D
1153,15,Male,Group A,Bechelor Degree,Low,,No,4,Yes,No,No,Yes,Low,Grade D
1154,17,Female,Group A,Inter Education,Medium,,No,Strong Support,No,No,No,No,Low,Grade D
1155,15,Male,Group A,Inter Education,Low,,No,Strong Support,Yes,No,No,No,High,Grade B
1156,16,Female,Group A,Bechelor Degree,Medium,,Yes,3,Yes,Yes,No,No,Medium,Grade C
1157,17,Male,Group A,High Education,Medium,,No,No Support,No,Yes,Yes,Yes,Low,Grade D
1158,16,Female,Group A,Inter Education,Medium,,No,Strong Support,No,No,No,No,Medium,Grade C
1159,15,Male,Group A,Bechelor Degree,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1160,18,Female,Group A,High Education,Low,Moderate Absence,No,3,No,No,No,Yes,Low,Grade D
1161,17,Female,Group C,Inter Education,Low,,Yes,3,Yes,No,No,Yes,High,Grade B
1162,15,Male,Group D,Bechelor Degree,Low,,Yes,3,No,No,No,No,Low,Grade D
1163,18,Female,Group A,Inter Education,Medium,No Absence,Yes,3,No,No,Yes,Yes,High,Grade A
1164,18,Male,Group D,Inter Education,Medium,,No,3,Yes,No,No,No,Medium,Grade C
1165,16,Male,Group B,Bechelor Degree,Medium,,Yes,Strong Support,Yes,No,No,No,Medium,Grade D
1166,15,Female,Group A,Bechelor Degree,Low,,No,Strong Support,No,Yes,No,No,Low,Grade D
1167,18,Male,Group A,High Education,Medium,,Yes,Strong Support,Yes,Yes,No,No,Medium,Grade C
1168,17,Male,Group B,No Education,Low,,No,4,No,Yes,No,No,Medium,Grade D
1169,17,Male,Group C,Inter Education,Medium,,No,3,Yes,No,No,No,Medium,Grade D
1170,16,Male,Group C,Inter Education,Low,Moderate Absence,No,Strong Support,No,Yes,No,No,Low,Grade D
1171,18,Male,Group A,Inter Education,Low,,No,3,No,Yes,No,No,Low,Grade D
1172,15,Female,Group A,Inter Education,Low,,No,Strong Support,Yes,No,No,Yes,Low,Grade D
1173,17,Male,Group A,High Education,Medium,,Yes,3,No,No,No,No,Medium,Grade D
1174,18,Male,Group A,Inter Education,Medium,,No,Strong Support,No,Yes,No,No,Medium,Grade C
1175,18,Male,Group A,High Education,Low,Moderate Absence,Yes,Medium Support,Yes,No,No,No,Low,Grade D
1176,16,Male,Group A,Inter Education,Low,,No,3,Yes,No,No,No,Low,Grade D
1177,17,Male,Group C,Inter Education,Low,,No,3,No,No,No,No,Medium,Grade C
1178,17,Female,Group D,High Education,Medium,,Yes,Strong Support,Yes,No,Yes,No,Low,Grade D
1179,15,Male,Group A,High Education,Low,,No,Strong Support,Yes,No,No,No,Medium,Grade C
1180,17,Female,Group D,Inter Education,Medium,,No,3,Yes,No,No,Yes,High,Grade B
1181,15,Female,Group A,Inter Education,Medium,,Yes,3,No,No,No,No,High,Grade B
1182,17,Female,Group A,High Education,Medium,Moderate Absence,No,3,Yes,No,No,No,Low,Grade D
1183,16,Female,Group A,Master Drgree,Low,,No,Strong Support,Yes,Yes,No,No,Medium,Grade D
1184,17,Male,Group B,Inter Education,Medium,,Yes,4,Yes,Yes,No,No,High,Grade B
1185,15,Female,Group D,Master Drgree,Medium,,No,3,No,No,No,No,Medium,Grade C
1186,15,Female,Group B,Inter Education,Low,,Yes,3,Yes,No,No,No,Low,Grade D
1187,16,Male,Group A,Inter Education,Medium,,No,3,No,No,No,No,Medium,Grade C
1188,17,Male,Group B,Bechelor Degree,Medium,,No,Medium Support,Yes,No,No,No,Medium,Grade C
1189,17,Male,Group A,Inter Education,Low,,No,No Support,Yes,Yes,No,No,Low,Grade D
1190,16,Female,Group C,Inter Education,Low,,Yes,3,No,No,No,No,Low,Grade D
1191,17,Male,Group B,High Education,Low,,No,Strong Support,No,No,No,Yes,Low,Grade D
1192,17,Male,Group A,Inter Education,Medium,,Yes,3,No,No,No,No,Medium,Grade D
1193,15,Female,Group B,High Education,Low,,No,Strong Support,Yes,No,No,No,Medium,Grade D
1194,17,Male,Group B,High Education,Medium,,No,Strong Support,No,No,No,No,Medium,Grade D
1195,17,Male,Group A,No Education,Medium,,Yes,Medium Support,Yes,No,Yes,No,Medium,Grade C
1196,16,Male,Group B,No Education,Medium,,No,3,Yes,Yes,No,No,Low,Grade D
1197,16,Male,Group A,Master Drgree,Low,No Absence,No,Medium Support,Yes,No,No,Yes,High,Grade B
1198,18,Female,Group C,High Education,Medium,,No,3,Yes,No,Yes,No,Low,Grade D
1199,15,Male,Group C,Inter Education,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1200,17,Male,Group C,Bechelor Degree,Low,,No,3,Yes,No,No,No,Low,Grade D
1201,17,Female,Group B,Inter Education,Medium,,No,Medium Support,No,No,Yes,No,Low,Grade D
1202,18,Male,Group B,High Education,Low,,No,Medium Support,No,No,No,No,Low,Grade D
1203,17,Female,Group A,Inter Education,Medium,,No,3,No,Yes,No,Yes,Medium,Grade C
1204,15,Male,Group C,Inter Education,Low,,No,Strong Support,Yes,No,No,No,Medium,Grade D
1205,18,Female,Group A,Inter Education,Low,,No,Medium Support,Yes,No,No,No,Low,Grade D
1206,15,Female,Group A,Inter Education,Low,,Yes,4,No,No,No,No,Medium,Grade D
1207,18,Female,Group A,Master Drgree,Medium,,Yes,Medium Support,Yes,No,No,No,Low,Grade D
1208,18,Female,Group A,Inter Education,Medium,,No,Strong Support,Yes,No,No,No,Low,Grade D
1209,16,Male,Group B,High Education,Medium,,No,Medium Support,No,No,No,No,Low,Grade D
1210,15,Female,Group A,Inter Education,Low,Moderate Absence,Yes,Strong Support,Yes,No,Yes,Yes,Low,Grade D
1211,17,Male,Group C,No Education,Low,,No,Strong Support,No,No,Yes,No,Medium,Grade C
1212,17,Female,Group A,Bechelor Degree,Medium,,No,Medium Support,No,No,Yes,Yes,Low,Grade D
1213,15,Female,Group A,High Education,Low,,No,3,Yes,No,No,No,High,Grade B
1214,17,Female,Group B,High Education,Low,,Yes,Strong Support,No,No,No,No,Low,Grade D
1215,17,Male,Group A,Bechelor Degree,Medium,,No,3,No,No,No,No,Medium,Grade D
1216,15,Female,Group A,Inter Education,Low,,Yes,Medium Support,Yes,No,No,No,Low,Grade D
1217,18,Male,Group C,High Education,Medium,,Yes,Strong Support,Yes,No,No,No,Low,Grade D
1218,15,Male,Group A,Inter Education,Medium,,No,No Support,Yes,No,Yes,No,Medium,Grade C
1219,18,Male,Group C,Bechelor Degree,Low,,Yes,3,No,No,No,No,Low,Grade D
1220,17,Male,Group A,High Education,Low,,No,3,No,No,No,No,Low,Grade D
1221,17,Male,Group A,Bechelor Degree,Low,,No,3,Yes,Yes,No,Yes,Low,Grade D
1222,17,Male,Group C,No Education,Medium,,No,Strong Support,No,Yes,No,Yes,Medium,Grade D
1223,16,Male,Group A,Inter Education,Medium,,No,3,No,No,Yes,No,Low,Grade D
1224,18,Male,Group A,Bechelor Degree,Low,,No,3,No,No,No,No,Medium,Grade C
1225,16,Male,Group A,High Education,Low,,No,No Support,Yes,No,No,No,Low,Grade D
1226,16,Female,Group A,Inter Education,Medium,,No,Medium Support,No,No,Yes,No,Low,Grade D
1227,15,Female,Group C,High Education,Medium,,No,Strong Support,No,No,No,No,Low,Grade D
1228,16,Female,Group A,Inter Education,Low,,No,3,No,Yes,No,No,Low,Grade D
1229,15,Female,Group C,Inter Education,Low,,Yes,No Support,No,No,No,No,Low,Grade D
1230,15,Female,Group C,Inter Education,Low,,No,3,No,Yes,No,No,High,Grade B
1231,16,Male,Group A,High Education,Medium,,No,Strong Support,No,No,No,No,Low,Grade D
1232,18,Male,Group D,High Education,Medium,,No,Strong Support,No,No,No,No,Low,Grade D
1233,18,Male,Group A,No Education,Low,,No,Medium Support,No,Yes,No,Yes,Low,Grade D
1234,18,Male,Group D,High Education,Medium,,No,Strong Support,No,Yes,No,Yes,Low,Grade D
1235,18,Male,Group A,Inter Education,Low,,No,No Support,No,Yes,No,No,Low,Grade D
1236,18,Male,Group B,Bechelor Degree,Low,,No,No Support,No,Yes,No,No,Medium,Grade C
1237,16,Male,Group A,Inter Education,Low,No Absence,No,3,No,No,Yes,No,Medium,Grade C
1238,16,Female,Group A,Inter Education,Medium,,Yes,Strong Support,No,No,Yes,No,Low,Grade D
1239,17,Female,Group B,Master Drgree,Low,,Yes,Strong Support,No,No,No,No,Low,Grade D
1240,18,Female,Group C,Inter Education,Medium,,No,Medium Support,Yes,No,Yes,No,Low,Grade D
1241,16,Female,Group A,Bechelor Degree,Low,,Yes,Strong Support,No,Yes,No,No,High,Grade B
1242,17,Male,Group A,Inter Education,Low,,No,No Support,Yes,Yes,No,No,Low,Grade D
1243,18,Male,Group C,High Education,Low,,No,Strong Support,No,Yes,No,No,Medium,Grade C
1244,15,Male,Group B,No Education,Medium,,Yes,Strong Support,No,No,No,No,Medium,Grade D
1245,17,Female,Group D,Inter Education,Low,,No,Strong Support,Yes,No,No,No,Low,Grade D
1246,16,Male,Group C,High Education,Medium,,No,4,No,Yes,No,No,Medium,Grade D
1247,15,Male,Group D,High Education,Low,,No,Strong Support,No,No,No,No,Low,Grade D
1248,15,Male,Group C,Inter Education,Low,Moderate Absence,No,Strong Support,Yes,No,No,No,Low,Grade D
1249,15,Female,Group A,Inter Education,Low,,No,Strong Support,No,Yes,No,No,Low,Grade D
1250,17,Male,Group A,Inter Education,Low,,No,Medium Support,No,No,Yes,No,Medium,Grade C
1251,16,Female,Group C,High Education,Low,,No,3,No,Yes,No,No,Low,Grade D
1252,15,Female,Group B,High Education,Low,,No,Strong Support,Yes,No,No,No,Medium,Grade D
1253,18,Female,Group A,Inter Education,Medium,,Yes,Medium Support,Yes,No,No,No,Medium,Grade C
1254,15,Female,Group A,Master Drgree,Medium,,No,3,No,No,No,Yes,High,Grade B
1255,15,Male,Group D,Inter Education,Low,,Yes,No Support,No,No,No,No,Low,Grade D
1256,17,Female,Group B,Bechelor Degree,Low,Low Absent,No,4,Yes,No,No,Yes,Medium,Grade D
1257,17,Female,Group A,Inter Education,Low,No Absence,Yes,3,No,No,No,No,High,Grade B
1258,16,Male,Group A,Inter Education,Low,,Yes,Strong Support,No,Yes,Yes,No,Medium,Grade C
1259,18,Male,Group A,High Education,Low,,No,Medium Support,Yes,Yes,No,No,Low,Grade D
1260,17,Female,Group A,Inter Education,Medium,No Absence,No,Medium Support,No,No,No,No,High,Grade B
1261,15,Male,Group A,Inter Education,Low,,No,Medium Support,Yes,No,No,No,Medium,Grade D
1262,16,Female,Group A,Inter Education,Low,Moderate Absence,Yes,Medium Support,Yes,No,No,No,Low,Grade D
1263,15,Female,Group C,Inter Education,Low,,No,Strong Support,Yes,Yes,No,Yes,Low,Grade D
1264,15,Female,Group A,Inter Education,Low,,No,4,No,No,Yes,Yes,Low,Grade D
1265,17,Female,Group C,High Education,Medium,,No,Strong Support,No,No,No,No,Low,Grade D
1266,16,Male,Group C,Inter Education,Low,Low Absent,Yes,3,No,No,No,No,Medium,Grade D
1267,18,Female,Group A,High Education,Low,,No,3,No,No,No,No,Low,Grade D
1268,18,Male,Group B,Bechelor Degree,Medium,,No,3,No,No,No,No,Low,Grade D
1269,17,Male,Group A,High Education,Low,,No,No Support,No,Yes,Yes,Yes,Low,Grade D
1270,17,Male,Group C,No Education,Medium,,Yes,Strong Support,No,Yes,No,No,Low,Grade D
1271,16,Male,Group A,Inter Education,Medium,,No,3,No,No,No,No,Low,Grade D
1272,18,Female,Group B,Inter Education,Low,,No,3,No,No,No,Yes,Low,Grade D
1273,18,Male,Group B,Inter Education,Medium,,No,4,No,No,No,No,Medium,Grade D
1274,18,Female,Group A,High Education,Low,,No,3,No,No,No,Yes,Low,Grade D
1275,15,Male,Group A,Inter Education,Medium,,Yes,Medium Support,No,No,No,No,Medium,Grade D
1276,18,Male,Group B,High Education,Low,,No,Strong Support,Yes,No,No,Yes,Medium,Grade C
1277,15,Female,Group C,Bechelor Degree,Low,,No,No Support,Yes,Yes,No,No,Low,Grade D
1278,16,Female,Group A,Bechelor Degree,Medium,,Yes,3,No,No,No,No,Low,Grade D
1279,15,Female,Group B,Inter Education,Medium,,Yes,Strong Support,No,No,No,No,Medium,Grade D
1280,16,Male,Group A,High Education,Medium,,No,3,No,No,No,No,Low,Grade D
1281,18,Male,Group C,Inter Education,Medium,,No,4,No,No,No,Yes,Low,Grade D
1282,18,Female,Group A,No Education,Low,,Yes,3,No,No,Yes,No,Medium,Grade C
1283,16,Female,Group C,Inter Education,Low,,No,Strong Support,Yes,No,No,Yes,Low,Grade D
1284,17,Female,Group A,High Education,Low,,Yes,Medium Support,No,No,No,No,Medium,Grade D
1285,16,Female,Group A,Bechelor Degree,Low,,Yes,3,Yes,Yes,Yes,No,High,Grade B
1286,17,Male,Group A,No Education,Low,,No,Medium Support,No,No,No,No,Low,Grade D
1287,15,Female,Group A,Inter Education,Medium,,Yes,Medium Support,No,No,No,No,Low,Grade D
1288,15,Female,Group B,Inter Education,Low,,No,Medium Support,No,No,No,No,Low,Grade D
1289,15,Female,Group A,Inter Education,Low,,No,Strong Support,Yes,No,No,No,Medium,Grade C
